Player ID,Player Name,Team,Position,Receptions,Receiving Yards,Receiving TDs,Fumbles
221,Antonio Gibson,WAS,RB,36,247,0,2
222,Jakeem Grant,MIA,WR,36,373,1,2
223,Jonathan Taylor,IND,RB,36,299,1,1
224,James Conner,PIT,RB,35,215,0,2
225,Gabriel Davis,BUF,WR,35,599,7,1
226,David Moore,SEA,WR,35,417,6,1
86,Golden Tate,NYG,WR,35,388,2,0
227,Tre'Quan Smith,NOR,WR,34,448,4,1
228,John Brown,BUF,WR,33,458,3,0
229,Keke Coutee,HOU,WR,33,400,3,4
230,N'Keal Harry,NWE,WR,33,309,2,1
231,Josh Jacobs,LVR,RB,33,238,0,2
232,David Johnson,HOU,RB,33,314,2,2
233,Allen Lazard,GNB,WR,33,451,3,0
234,Jerick McKinnon,SFO,RB,33,253,1,0
235,Scott Miller,TAM,WR,33,501,3,0
236,Deebo Samuel,SFO,WR,33,391,1,0
237,Willie Snead,BAL,WR,33,432,3,1
238,Marquez Valdes-Scantling,GNB,WR,33,690,6,1
239,Melvin Gordon,DEN,RB,32,158,1,4
240,Cam Sims,WAS,WR,32,477,1,0
241,Mo Alie-Cox,IND,TE,31,394,2,1
242,Dan Arnold,ARI,TE,31,438,4,2
243,Chris Herndon,NYJ,TE,31,287,3,2
244,Jalen Reagor,PHI,WR,31,396,1,2
245,Jamaal Williams,GNB,RB,31,236,1,0
246,KJ Hamler,DEN,WR,30,381,3,2
104,Isaiah McKenzie,BUF,WR,30,282,5,0
247,Breshad Perriman,NYJ,WR,30,505,3,0
248,Irv Smith Jr.,MIN,TE,30,365,5,0
249,James Washington,PIT,WR,30,392,5,0
250,Kalen Ballage,2TM,RB,29,166,0,1
80,Lynn Bowden Jr.,MIA,RB,28,211,0,0
251,Cameron Brate,TAM,TE,28,282,2,0
252,Trey Burton,IND,TE,28,250,3,0
253,Isaiah Ford,MIA,WR,28,276,0,0
254,Jalen Guyton,LAC,WR,28,511,3,0
255,Duke Johnson,HOU,RB,28,249,1,3
256,Ronald Jones II,TAM,RB,28,165,1,2
257,Cole Kmet,CHI,TE,28,243,2,1
258,James O'Shaughnessy,JAX,TE,28,262,0,0
259,Tony Pollard,DAL,RB,28,193,1,0
260,Kyle Rudolph,MIN,TE,28,334,1,1
261,Miles Sanders,PHI,RB,28,197,0,4
262,Steven Sims,WAS,WR,27,265,1,5
112,Isaiah Wright,WAS,WR,27,197,0,3
263,Jordan Reed,SFO,TE,26,231,4,0
264,Henry Ruggs III,LVR,WR,26,452,2,2
265,Durham Smythe,MIA,TE,26,208,2,0
266,Rex Burkhead,NWE,RB,25,192,3,0
267,Kenyan Drake,ARI,RB,25,137,0,3
268,Todd Gurley,ATL,RB,25,164,0,2
269,Brian Hill,ATL,RB,25,199,0,2
270,Jacob Hollister,SEA,TE,25,209,3,0
271,Boston Scott,PHI,RB,25,212,1,2
272,Harrison Bryant,CLE,TE,24,238,3,2
273,Will Dissly,SEA,TE,24,251,2,0
274,Dawson Knox,BUF,TE,24,288,3,2
275,Greg Olsen,SEA,TE,24,239,1,0
276,Richard Rodgers,PHI,TE,24,345,2,0
91,Odell Beckham Jr.,CLE,WR,23,319,3,0
277,Malcolm Brown,LAR,RB,23,162,0,1
278,Jack Doyle,IND,TE,23,251,3,1
279,DaeSean Hamilton,DEN,WR,23,293,2,1
280,Adam Humphries,TEN,WR,23,228,2,0
281,Richie James,SFO,WR,23,394,1,2
282,Joshua Kelley,LAC,RB,23,148,0,2
283,Denzel Mims,NYJ,WR,23,357,0,0
284,Latavius Murray,NOR,RB,23,176,1,1
285,Marquez Callaway,NOR,WR,21,213,0,0
82,Julian Edelman,NWE,WR,21,315,0,0
286,Darren Fells,HOU,TE,21,312,4,0
287,Wayne Gallman,NYG,RB,21,114,0,1
288,Andy Isabella,ARI,WR,21,224,2,1
289,Joe Mixon,CIN,RB,21,138,1,1
290,Cordarrelle Patterson,CHI,WR,21,132,0,0
291,Chad Beebe,MIN,WR,20,201,2,2
292,Quintez Cephus,DET,WR,20,349,2,0
293,Devin Duvernay,BAL,WR,20,201,0,0
294,Kenny Golladay,DET,WR,20,338,2,0
295,Deonte Harris,NOR,WR,20,186,1,3
296,Tyron Johnson,LAC,WR,20,398,3,0
297,Ray-Ray McCloud,PIT,WR,20,77,0,2
298,Ian Thomas,CAR,TE,20,145,1,1
299,Chris Thompson,JAX,RB,20,146,1,0
300,Olamide Zaccheaus,ATL,WR,20,274,1,0
301,Miles Boykin,BAL,WR,19,266,4,0
302,Tyler Conklin,MIN,TE,19,194,1,1
303,Ross Dwelley,SFO,TE,19,245,1,0
304,Derrick Henry,TEN,RB,19,114,0,3
305,Justin Jackson,LAC,RB,19,173,0,0
306,Van Jefferson,LAR,WR,19,220,1,1
307,Kerryon Johnson,DET,RB,19,187,1,1
308,Kyle Juszczyk,SFO,FB,19,202,4,1
309,Dion Lewis,NYG,RB,19,127,1,3
310,David Njoku,CLE,TE,19,213,2,0
311,Jalen Richard,LVR,RB,19,138,0,1
312,J.K. Dobbins,BAL,RB,18,120,0,2
313,Marvin Hall,2TM,WR,18,302,2,0
314,Dontrelle Inman,WAS,WR,18,163,2,1
315,Collin Johnson,JAX,WR,18,272,2,0
316,Kaden Smith,NYG,TE,18,112,0,1
317,Darrel Williams,KAN,RB,18,116,0,0
318,Preston Williams,MIA,WR,18,288,4,0
319,Devontae Booker,LVR,RB,17,84,0,1
320,DeeJay Dallas,SEA,RB,17,111,1,0
321,Chad Hansen,HOU,WR,17,236,1,0
322,Christian McCaffrey,CAR,RB,17,149,1,0
323,Mohamed Sanu,2TM,WR,17,187,1,0
324,Ito Smith,ATL,RB,17,75,0,1
325,Jeff Smith,NYJ,WR,17,167,0,0
87,Cedrick Wilson Jr.,DAL,WR,17,189,2,0
326,Le'Veon Bell,2TM,RB,16,138,0,1
327,Nick Chubb,CLE,RB,16,150,0,1
328,Frank Gore,NYJ,RB,16,89,0,1
329,Darrell Henderson,LAR,RB,16,159,1,0
330,Mack Hollins,MIA,WR,16,176,1,1
331,Carlos Hyde,SEA,RB,16,93,0,1
332,Ty Johnson,2TM,RB,16,99,1,0
333,Raheem Mostert,SFO,RB,16,156,1,1
334,KeeSean Johnson,ARI,WR,15,173,0,0
335,LeSean McCoy,TAM,RB,15,101,0,0
336,Vance McDonald,PIT,TE,15,99,0,0
337,Adam Trautman,NOR,TE,15,171,1,0
338,Nick Boyle,BAL,TE,14,113,2,0
339,Noah Brown,DAL,WR,14,154,0,0
340,Pharaoh Brown,HOU,TE,14,163,2,0
341,Chris Hogan,NYJ,WR,14,118,0,0
342,DeSean Jackson,PHI,WR,14,236,1,0
343,Jesse James,DET,TE,14,129,2,0
344,Marcus Johnson,IND,WR,14,255,0,0
345,Olabisi Johnson,MIN,WR,14,189,0,0
99,Zay Jones,LVR,WR,14,154,1,0
346,Zack Moss,BUF,RB,14,95,1,0
347,Donovan Peoples-Jones,CLE,WR,14,304,2,0
348,Auden Tate,CIN,WR,14,150,0,0
349,Nick Vannett,DEN,TE,14,95,1,0
88,Jamal Agnew,DET,WR,13,89,0,2
350,Christian Blake,ATL,WR,13,141,0,0
351,Ryan Izzo,NWE,TE,13,199,0,1
352,Alexander Mattison,MIN,RB,13,125,1,0
353,Byron Pringle,KAN,WR,13,160,1,0
354,Freddie Swain,SEA,WR,13,159,2,0
355,Mike Thomas,CIN,WR,13,132,1,1
356,Jeff Wilson,SFO,RB,13,133,3,2
357,Jason Witten,LVR,TE,13,69,2,0
358,Cameron Batson,TEN,WR,12,100,1,1
96,Alex Erickson,CIN,WR,12,139,0,2
359,Royce Freeman,DEN,RB,12,81,0,0
360,Alec Ingold,LVR,FB,12,110,1,0
361,Tyler Johnson,TAM,WR,12,169,2,0
362,Tyler Kroft,BUF,TE,12,119,3,0
363,Jeremy McNichols,TEN,RB,12,55,0,0
364,Adrian Peterson,DET,RB,12,101,0,0
365,Brandon Powell,ATL,WR,12,69,2,2
366,Adam Shaheen,MIA,TE,12,150,3,0
367,Jace Sternberger,GNB,TE,12,114,1,0
368,Jordan Wilkins,IND,RB,12,105,0,0
369,Salvon Ahmed,MIA,RB,11,61,0,0
370,Cam Akers,LAR,RB,11,123,1,1
371,Blake Bell,DAL,TE,11,110,0,0
372,C.J. Board,NYG,WR,11,101,0,0
373,Bryan Edwards,LVR,WR,11,193,1,0
374,Tyler Ervin,GNB,RB,11,84,0,0
375,KhaDarel Hodge,CLE,WR,11,180,0,0
376,O.J. Howard,TAM,TE,11,146,2,0
377,Albert Okwuegbunam,DEN,TE,11,121,1,0
378,La'Mical Perine,NYJ,RB,11,63,0,0
379,Samaje Perine,CIN,RB,11,66,0,0
380,Keith Smith,ATL,FB,11,59,0,0
381,Kenny Stills,HOU,WR,11,144,1,0
382,De'Michael Harris,IND,WR,10,79,0,0
383,John Hightower,PHI,WR,10,167,0,0
384,Patrick Laird,MIA,RB,10,68,0,1
385,Marcedes Lewis,GNB,TE,10,107,3,0
386,Dare Ogunbowale,JAX,RB,10,54,0,0
387,Donald Parham,LAC,TE,10,159,3,0
388,Benny Snell Jr.,PIT,RB,10,61,0,2
389,Trent Taylor,SFO,WR,10,86,0,0
390,Matt Breida,MIA,RB,9,96,0,2
391,Gus Edwards,BAL,RB,9,129,0,1
392,Ryan Griffin,NYJ,TE,9,86,0,0
393,Travis Homer,SEA,RB,9,90,1,0
394,Devine Ozigbo,JAX,RB,9,42,0,0
395,Malcolm Perry,MIA,RB,9,92,1,1
396,Kalif Raymond,TEN,WR,9,187,0,0
397,Patrick Ricard,BAL,FB,9,45,1,1
398,Jaylen Samuels,PIT,RB,9,46,0,0
399,Rodney Smith,CAR,RB,9,59,0,1
400,Geoff Swaim,TEN,WR,9,83,1,0
401,Ameer Abdullah,MIN,RB,8,58,2,0
402,Stephen Anderson,LAC,TE,8,106,0,0
403,Darrell Daniels,ARI,TE,8,92,1,0
404,Troy Fumagalli,DEN,TE,8,80,1,0
405,C.J. Ham,MIN,FB,8,97,1,0
406,Josh Hill,NOR,TE,8,46,1,1
42,Taysom Hill,NOR,WR,8,98,1,10
407,Jakob Johnson,NWE,FB,8,35,1,1
408,Ryan Nall,CHI,RB,8,67,1,0
409,Troymaine Pope,LAC,RB,8,42,0,0
410,C.J. Uzomah,CIN,TE,8,87,1,0
411,Maxx Williams,ARI,TE,8,102,1,0
412,Devonta Freeman,NYG,RB,7,58,0,0
413,Demetrius Harris,CHI,TE,7,45,0,0
414,Jamycal Hasty,SFO,RB,7,33,0,1
415,K.J. Hill,LAC,WR,7,73,0,1
416,Phillip Lindsay,DEN,RB,7,28,0,0
417,Austin Mack,NYG,WR,7,91,0,0
418,Sony Michel,NWE,RB,7,114,1,0
419,Jaydon Mickens,TAM,WR,7,58,0,0
420,Foster Moreau,LVR,TE,7,140,2,0
421,Equanimeous St. Brown,GNB,WR,7,117,1,0
422,Luke Stocker,ATL,TE,7,63,0,0
423,Darwin Thompson,KAN,RB,7,65,1,2
424,Quez Watkins,PHI,WR,7,106,1,0
425,Justin Watson,TAM,WR,7,94,0,0
426,Deon Yelder,KAN,TE,7,36,0,0
427,Josh Adams,NYJ,RB,6,29,0,0
428,Saquon Barkley,NYG,RB,6,60,0,0
429,Dez Bryant,BAL,WR,6,47,2,0
430,Parris Campbell,IND,WR,6,71,0,0
431,Tyrie Cleveland,DEN,WR,6,63,0,0
432,Tarik Cohen,CHI,RB,6,41,0,0
433,River Cracraft,SFO,WR,6,41,0,0
434,Mark Ingram,BAL,RB,6,50,0,0
435,Alshon Jeffery,PHI,WR,6,115,1,0
436,Nick Keizer,KAN,TE,6,63,0,1
437,Chris Manhertz,CAR,TE,6,52,0,0
438,Anthony McFarland Jr.,PIT,RB,6,54,0,0
439,Laquon Treadwell,ATL,WR,6,49,2,0
440,Javon Wims,CHI,WR,6,48,1,0
441,Alex Armah,CAR,RB,5,18,0,0
442,Tavon Austin,GNB,WR,5,20,0,1
443,Ja'Marcus Bradley,CLE,WR,5,60,0,0
444,Cethan Carter,CIN,TE,5,53,0,0
445,Corey Clement,PHI,RB,5,25,0,0
446,Pharoh Cooper,CAR,WR,5,73,0,1
447,Damien Harris,NWE,RB,5,52,0,1
448,Justice Hill,BAL,RB,5,20,0,0
449,Steven Mitchell,HOU,WR,5,60,0,0
450,Gabe Nabers,LAC,FB,5,25,2,0
451,Gunner Olszewski,NWE,WR,5,62,1,1
452,C.J. Prosise,HOU,RB,5,18,1,1
453,MyCole Pruitt,TEN,TE,5,49,2,0
454,Theo Riddick,LVR,RB,5,43,0,0
455,Darrius Shepherd,GNB,WR,5,46,0,1
456,Trent Sherfield,ARI,WR,5,50,0,0
457,Malik Taylor,GNB,WR,5,66,1,0
458,Levine Toilolo,NYG,TE,5,46,0,0
459,Ke'Shawn Vaughn,TAM,RB,5,34,1,1
460,DeAndre Washington,2TM,RB,5,30,0,0
461,Trayveon Williams,CIN,RB,5,30,0,1
462,JJ Arcega-Whiteside,PHI,WR,4,85,0,0
463,Peyton Barber,WAS,RB,4,12,0,0
464,Khari Blasingame,TEN,FB,4,39,0,0
465,Michael Burton,NOR,FB,4,28,0,0
466,Tevin Coleman,SFO,RB,4,34,0,0
467,Juwan Johnson,NOR,WR,4,39,0,0
468,Josh Malone,NYJ,WR,4,16,0,0
469,Johnny Mundt,LAR,TE,4,53,0,0
470,Dante Pettis,2TM,WR,4,76,1,1
471,Damion Ratley,NYG,WR,4,63,0,1
472,Riley Ridley,CHI,WR,4,39,0,0
473,Andre Roberts,BUF,WR,4,34,0,3
474,Seth Roberts,CAR,WR,4,31,0,0
475,Lee Smith,BUF,TE,4,35,2,0
476,Jonathan Williams,DET,RB,4,21,0,1
477,Deontay Burnett,PHI,WR,3,19,0,0
478,Trenton Cannon,CAR,RB,3,16,0,0
479,Austin Carr,NOR,WR,3,27,1,0
480,Ashton Dulin,IND,WR,3,53,0,1
481,Ted Ginn Jr.,CHI,WR,3,40,0,1
482,Terry Godwin,JAX,WR,3,32,0,0
483,Jaeden Graham,ATL,TE,3,25,0,0
484,Virgil Green,LAC,TE,3,50,1,0
485,Tanner Hudson,TAM,TE,3,41,0,0
486,Lil'Jordan Humphrey,NOR,WR,3,46,1,0
487,D'Ernest Johnson,CLE,RB,3,14,0,1
488,Dalton Keene,NWE,TE,3,16,0,1
489,Marlon Mack,IND,RB,3,30,0,0
490,Ty Montgomery,NOR,RB,3,27,0,0
491,Alfred Morris,NYG,RB,3,19,1,0
492,Eric Saubert,JAX,TE,3,16,0,0
493,Diontae Spencer,DEN,WR,3,26,0,2
494,Courtland Sutton,DEN,WR,3,66,0,0
495,Kahale Warring,HOU,TE,3,35,0,0
496,Nick Westbrook-Ikhine,TEN,WR,3,33,0,0
497,Charlie Woerner,SFO,TE,3,36,0,0
498,Brandon Zylstra,CAR,WR,3,35,0,0
499,Devin Asiasi,NWE,TE,2,39,1,0
500,Reggie Bonnafon,CAR,RB,2,18,1,0
501,Mike Boone,MIN,RB,2,10,0,0
502,Daniel Brown,NYJ,TE,2,31,0,0
503,Jake Butt,DEN,TE,2,5,0,0
504,Jason Cabinda,DET,MLB,2,8,0,0
505,Lawrence Cager,NYJ,WR,2,35,0,0
506,Antonio Callaway,MIA,WR,2,20,0,0
507,Chandler Cox,MIA,FB,2,9,0,0
508,Dominique Dafney,GNB,TE,2,26,1,0
509,AJ Dillon,GNB,RB,2,21,0,0
510,Darrynton Evans,TEN,RB,2,27,1,0
511,Robert Foster,WAS,WR,2,37,0,0
512,Daurice Fountain,IND,WR,2,23,0,0
513,Bennie Fowler,NOR,WR,2,11,0,0
514,Reggie Gilliam,BUF,RB,2,16,1,0
515,Andy Janovich,CLE,FB,2,13,0,0
516,Lamar Miller,CHI,RB,2,6,0,0
25,Cam Newton,NWE,QB,2,35,1,6
517,Colby Parkinson,SEA,TE,2,16,0,0
518,Elijhaa Penny,NYG,RB,2,20,0,0
519,John Ross,CIN,WR,2,17,0,0
520,Isaiah Zuber,NWE,WR,2,29,0,0
6,Josh Allen,BUF,QB,1,12,1,9
521,Marcus Baugh,WAS,TE,1,2,0,0
522,LeVante Bellamy,DEN,RB,1,5,0,0
523,Nick Bellore,SEA,FB,1,9,0,0
524,Hunter Bryant,DET,TE,1,44,0,0
525,Stephen Carlson,CLE,TE,1,11,0,0
526,Derek Carrier,LVR,TE,1,14,0,0
527,DeAndre Carter,2TM,WR,1,8,0,2
528,Alex Collins,SEA,RB,1,4,0,0
529,Jason Croom,PHI,TE,1,3,1,0
27,Andy Dalton,DAL,QB,1,-3,0,2
530,Josiah Deguara,GNB,TE,1,12,0,0
531,Gehrig Dieter,KAN,WR,1,10,0,0
532,Brandon Dillon,MIN,TE,1,6,0,0
533,Ben Ellefson,JAX,TE,1,10,0,0
534,Eric Fisher,KAN,LT,1,2,1,0
33,Ryan Fitzpatrick,MIA,QB,1,0,0,2
535,D'Onta Foreman,TEN,RB,1,5,1,0
536,D.J. Foster,ARI,RB,1,7,0,0
537,Antonio Gandy-Golden,WAS,WR,1,3,0,0
538,Cullen Gillaspia,HOU,FB,1,6,0,0
539,Penny Hart,SEA,WR,1,3,0,0
540,Temarrick Hemingway,WAS,TE,1,10,0,0
541,Dontrell Hilliard,2TM,RB,1,2,0,0
542,Cody Hollister,TEN,WR,1,12,0,0
543,Jordan Howard,2TM,RB,1,-3,0,1
544,Buddy Howell,HOU,RB,1,3,0,0
545,Jason Huntley,PHI,RB,1,0,0,0
38,Jalen Hurts,PHI,QB,1,3,0,9
546,Trenton Irwin,CIN,WR,1,5,0,0
547,Blake Jarwin,DAL,TE,1,12,0,0
548,Marcus Kemp,2TM,WR,1,11,0,0
549,Adrian Killins,PHI,RB,1,2,0,0
550,Keith Kirkwood,CAR,WR,1,13,0,0
551,Jake Kumerow,BUF,WR,1,22,1,0
552,Kendall Lamm,CLE,T,1,1,1,0
553,Tommylee Lewis,NOR,WR,1,5,0,0
554,Bobby Massie,CHI,RT,1,4,0,0
17,Baker Mayfield,CLE,QB,1,6,0,8
555,Bruce Miller,JAX,FB,1,2,0,0
28,Gardner Minshew II,JAX,QB,1,0,0,5
556,Donte Moncrief,NWE,WR,1,15,0,0
557,Isaac Nauta,DET,TE,1,3,0,0
558,Siran Neal,BUF,CB,1,13,0,0
559,Scottie Phillips,HOU,RB,1,7,0,0
36,Dak Prescott,DAL,QB,1,11,1,3
560,James Proche,BAL,WR,1,14,0,0
561,Craig Reynolds,JAX,RB,1,3,0,0
13,Aaron Rodgers,GNB,QB,1,-6,0,4
562,Jaleel Scott,NYJ,WR,1,16,0,0
563,Anthony Sherman,KAN,RB,1,5,1,0
564,Vyncint Smith,NYJ,WR,1,13,0,0
565,Jeremy Sprinkle,WAS,TE,1,6,0,0
18,Ryan Tannehill,TEN,QB,1,0,0,6
566,J.J. Taylor,NWE,RB,1,4,0,0
567,Jordan Thomas,2TM,TE,1,3,1,0
568,Colin Thompson,CAR,TE,1,7,1,0
569,Zeke Turner,ARI,LB,1,26,0,0
570,Austin Walter,SFO,RB,1,27,0,0
571,Jonathan Ward,ARI,RB,1,11,1,0
572,Trevon Wesco,NYJ,TE,1,5,0,0
573,Dede Westbrook,JAX,WR,1,4,0,1
574,Antonio Williams,BUF,RB,1,20,0,0
575,Luke Willson,2TM,TE,1,12,0,0
576,T.J. Yeldon,BUF,RB,1,22,1,1
